Date Of Sleep,Local Time Offset,Sleep Score,BedTime,Sleep Start Time,Wake Up Time,Get Up Time,Total In Bed Duration (hrs),Total Sleep Duration (hrs)
29/03/2021,-4,63.0468254,2021-03-29T02:57:53.000Z,2021-03-29T03:03:53.000Z,2021-03-29T12:15:53.000Z,2021-03-29T12:24:53.000Z,9.444,7.222
30/03/2021,-4,93.86932295,2021-03-30T01:04:23.000Z,2021-03-30T01:05:53.000Z,2021-03-30T10:22:53.000Z,2021-03-30T10:34:23.000Z,9.500,8.667
31/03/2021,-4,88.11476924,2021-03-31T01:27:55.000Z,2021-03-31T01:29:25.000Z,2021-03-31T10:39:25.000Z,2021-03-31T10:48:55.000Z,9.361,8.139
01/04/2021,-4,87.22784026,2021-04-01T02:39:13.000Z,2021-04-01T02:54:43.000Z,2021-04-01T10:11:43.000Z,2021-04-01T10:37:13.000Z,7.972,6.972
02/04/2021,-4,85.93340072,2021-04-02T02:49:07.000Z,2021-04-02T02:49:07.000Z,2021-04-02T10:19:37.000Z,2021-04-02T10:29:07.000Z,7.667,7.083
03/04/2021,-4,90.21431624,2021-04-03T02:49:20.000Z,2021-04-03T03:02:20.000Z,2021-04-03T10:47:20.000Z,2021-04-03T10:48:50.000Z,8.000,7.500
04/04/2021,-4,49.83061179,2021-04-04T07:20:28.000Z,2021-04-04T07:20:28.000Z,2021-04-04T11:27:28.000Z,2021-04-04T11:37:58.000Z,4.306,3.694
05/04/2021,-4,96.22222222,2021-04-05T01:10:01.000Z,2021-04-05T01:10:01.000Z,2021-04-05T10:34:31.000Z,2021-04-05T10:48:01.000Z,9.639,9.083
06/04/2021,-4,89.69166667,2021-04-06T02:29:07.000Z,2021-04-06T02:29:07.000Z,2021-04-06T10:19:37.000Z,2021-04-06T10:19:37.000Z,7.833,7.583
07/04/2021,-4,87.58673469,2021-04-07T02:38:22.000Z,2021-04-07T02:56:52.000Z,2021-04-07T10:48:22.000Z,2021-04-07T10:48:22.000Z,8.167,7.472
08/04/2021,-4,87.11230159,2021-04-08T02:02:29.000Z,2021-04-08T02:09:29.000Z,2021-04-08T10:26:29.000Z,2021-04-08T10:30:59.000Z,8.472,7.639
09/04/2021,-4,87.01633419,2021-04-09T02:39:54.000Z,2021-04-09T02:44:24.000Z,2021-04-09T10:22:24.000Z,2021-04-09T10:38:24.000Z,7.972,7.306
10/04/2021,-4,80.57902299,2021-04-10T01:55:17.000Z,2021-04-10T02:01:17.000Z,2021-04-10T10:37:17.000Z,2021-04-10T10:49:17.000Z,8.889,7.583
11/04/2021,-4,92.37439035,2021-04-11T01:40:49.000Z,2021-04-11T01:47:49.000Z,2021-04-11T12:07:19.000Z,2021-04-11T12:12:19.000Z,10.528,9.833
12/04/2021,-4,95.18373016,2021-04-12T01:34:43.000Z,2021-04-12T01:34:43.000Z,2021-04-12T10:24:13.000Z,2021-04-12T10:35:43.000Z,9.028,8.528
